HTNO,SUBCODE,IM
159Y1A0118,1501605,16
159Y1A0119,1501605,19
159Y1A0121,1501605,25
159Y1A0122,1501605,17
159Y1A0123,1501605,25
159Y1A0124,1501605,15
159Y1A0125,1501605,23
159Y1A0126,1501605,29
159Y1A0129,1501605,18
159Y1A0130,1501605,26
159Y1A0131,1501605,29
159Y1A0132,1501605,19
159Y1A0133,1501605,20
159Y1A0134,1501605,15
159Y1A0135,1501605,25
159Y1A0136,1501605,29
159Y1A0137,1501605,23
159Y1A0138,1501605,26
159Y1A0139,1501605,23
159Y1A0140,1501605,21
159Y1A0141,1501605,27
159Y1A0142,1501605,24
159Y1A0143,1501605,22
159Y1A0144,1501605,22
159Y1A0145,1501605,15
159Y1A0146,1501605,23
159Y1A0147,1501605,20
159Y1A0148,1501605,28
159Y1A0149,1501605,0
159Y1A0150,1501605,24
159Y1A0151,1501605,23
159Y1A0152,1501605,28
159Y1A0153,1501605,3
159Y1A0154,1501605,22
159Y1A0155,1501605,20
159Y1A0156,1501605,24
159Y1A0157,1501605,11
159Y1A0159,1501605,15
159Y1A0160,1501605,19
159Y1A0161,1501605,14
159Y1A0162,1501605,13
159Y1A0163,1501605,12
159Y1A0164,1501605,24
159Y1A0165,1501605,14
159Y1A0166,1501605,22
159Y1A0167,1501605,21
159Y1A0168,1501605,23
159Y1A0169,1501605,25
159Y1A0170,1501605,20
159Y1A0171,1501605,8
159Y1A0172,1501605,21
159Y1A0173,1501605,8
159Y1A0174,1501605,12
159Y1A0175,1501605,17
159Y1A0176,1501605,10
159Y1A0177,1501605,9
159Y1A0178,1501605,10
159Y1A0179,1501605,13
159Y1A0180,1501605,20
159Y1A0181,1501605,24
159Y1A0183,1501605,24
159Y1A0185,1501605,4
159Y1A0186,1501605,20
159Y1A0187,1501605,19
159Y1A0188,1501605,23
159Y1A0189,1501605,18
159Y1A0190,1501605,19
159Y1A0191,1501605,19
159Y1A0192,1501605,17
159Y1A0193,1501605,24
